accuracy,communication_rounds,dpMode,foldPrivacytest,foldTest,labelColumn,noiseScale,numClients,status,testnum,C,delta,epsilon,L,alpha,lambda_,max_iter,tolerance
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,105_64462071,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,106_346752629,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,107_601542051,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,108_848917615,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,109_102755261,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,110_374794198,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,111_832921819,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,112_62278985,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,113_708038507,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,114_261140993,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,115_801059651,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,116_232334629,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,117_965985586,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,118_388980568,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,119_16774358,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,120_962088279,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,121_143815037,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,123_393429857,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,124_691620588,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,125_947335341,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,126_183228288,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,127_339406454,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,128_627929646,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,129_852629834,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,130_41922306,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,131_181166265,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,132_404700062,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,133_643346135,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,134_44133598,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,135_312123124,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,136_747281291,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,137_133557010,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,138_498735818,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,139_903054862,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,140_244526136,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,141_538400593,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,142_873097833,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,143_419747312,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,144_933023154,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,145_529833853,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,146_197024202,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,147_970048072,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,148_511994762,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,149_254854319,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,150_71501541,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,151_751920446,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,152_409672107,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,183_810674728,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,184_154069225,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,185_435139653,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,186_652965990,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,187_999367207,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,188_234197876,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,189_480155150,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,190_797194685,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,191_990400707,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,90|119,60|89,target,None,1,finished,192_250052629,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,193_475569169,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,194_739265994,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,195_256426686,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,196_712708802,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,197_90356257,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,198_348563651,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,199_759037292,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,200_251758557,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
